Velocity [m/s];Delta_P1 [Pa];Gs [kg/m2s]
9.820273;159.137721;36.63
9.803231;159.137721;36.63
9.784276;159.440829;36.63
9.755461;159.783618;36.63
9.732993;160.01927;36.63
9.730373;160.244407;36.63
9.724778;160.423052;36.63
9.724778;160.965749;36.63
9.724778;162.60926;36.63
9.724778;163.995568;36.63
9.73014;164.308419;36.63
9.73445;165.900123;36.63
9.7473;168.162324;36.63
9.775506;170.796687;36.63
9.791166;172.454889;36.63
9.791267;172.86308;36.63
9.791267;173.397228;36.63
9.791267;173.397228;36.63
9.792407;173.818122;36.63
9.792407;173.659627;36.63
9.791267;173.392827;36.63
9.790352;173.392827;36.63
9.788553;173.045784;36.63
9.786047;172.838642;36.63
9.783687;172.838642;36.63
9.783687;172.640891;36.63
9.785292;171.478376;36.63
9.786194;170.559207;36.63
9.786194;169.985897;36.63
9.827498;169.48659;36.63
9.866208;169.380223;36.63
9.874798;168.797256;36.63
9.88509;167.15433;36.63
9.88509;165.977508;36.63
9.88509;165.70673;36.63
9.88509;165.078238;36.63
9.88509;163.769591;36.63
9.877524;162.79404;36.63
9.857721;162.656181;36.63
9.82513;162.593577;36.63
9.77993;161.002425;36.63
9.75073;159.130001;36.63
9.75073;158.407883;36.63
9.75073;157.623417;36.63
9.75073;157.123245;36.63
9.75073;157.123245;36.63
9.756787;157.123245;36.63
9.764364;157.123245;36.63
9.78034;157.623417;36.63
9.862747;157.855701;36.63
9.932039;159.445124;36.63
9.932039;160.686987;36.63
9.932039;161.567623;36.63
9.932039;162.331837;36.63
9.932039;162.331837;36.63
9.926578;162.331837;36.63
9.908271;162.331837;36.63
9.875777;161.567623;36.63
9.825482;159.884286;36.63
9.779802;157.72107;36.63
9.754852;156.62822;36.63
9.718824;156.62822;36.63
9.684016;156.62822;36.63
9.66274;156.296525;36.63
9.647105;155.942856;36.63
9.647105;155.942856;36.63
9.647105;156.311154;36.63
9.647105;156.348256;36.63
9.647105;156.721052;36.63
9.656371;156.878457;36.63
9.69095;157.868152;36.63
9.729764;158.738727;36.63
9.761165;160.535969;36.63
9.824552;162.384757;36.63
9.890836;162.919198;36.63
9.902883;162.919198;36.63
9.902883;163.370955;36.63
9.902883;163.583524;36.63
9.902883;163.828075;36.63
9.909817;164.021307;36.63
9.914411;164.307045;36.63
9.90416;164.280001;36.63
9.89401;164.280001;36.63
9.888045;164.280001;36.63
9.881997;164.280001;36.63
9.87295;164.280001;36.63
9.853914;163.861995;36.63
9.827741;162.806915;36.63
9.105658;134.266845;117
9.112664;135.173485;117
9.112664;138.540688;117
9.112664;141.666673;117
9.112664;141.666673;117
9.112664;141.666673;117
9.110836;141.666673;117
9.099549;141.666673;117
9.084105;140.265015;117
9.069623;138.570001;117
9.05381;138.134652;117
9.026555;137.71084;117
8.98624;137.71084;117
8.95937;137.270781;117
8.959289;137.270781;117
8.959289;137.71084;117
8.959289;138.134652;117
8.959289;138.45283;117
8.959289;139.152935;117
8.980422;139.519146;117
9.015712;140.09461;117
9.054017;140.971108;117
9.087739;141.733492;117
9.216894;143.147349;117
9.314413;145.429513;117
9.314413;147.086775;117
9.314413;147.601194;117
9.314413;147.77324;117
9.314413;148.116039;117
9.281022;148.422275;117
9.254393;148.422275;117
9.245425;148.470801;117
9.225494;148.652667;117
9.187333;148.652667;117
9.161077;148.470801;117
9.142038;148.422275;117
9.118552;147.921282;117
9.091911;146.932637;117
9.064029;146.377736;117
9.050511;146.231089;117
9.039674;145.879357;117
9.022805;145.3075;117
8.974457;143.835109;117
8.914406;142.284012;117
8.891496;141.936328;117
8.891496;141.936328;117
8.891496;141.936328;117
8.891496;141.936328;117
8.891496;142.132323;117
8.896673;141.746895;117
8.907742;141.746895;117
8.910245;141.539575;117
8.91609;142.643334;117
8.927424;144.268591;117
8.935986;145.277437;117
8.938891;145.277437;117
8.941191;145.277437;117
8.954463;145.277437;117
8.985956;145.277437;117
9.047814;146.514096;117
9.094899;148.411878;117
9.094899;149.47839;117
9.094899;149.744424;117
9.094899;150.843748;117
9.094899;152.130068;117
9.094734;152.709545;117
9.08427;154.182623;117
9.077926;155.448968;117
9.074496;155.448968;117
